name,type,district,city,address,phone,website,mapsUrl
Bệnh viện Đa khoa Hậu Lộc,public,,,,,,"https://www.google.com/maps/search/?api=1&query=19.9171255,105.886199"
Bệnh viện Đa khoa Hòa Bình,public,,,,,,"https://www.google.com/maps/search/?api=1&query=20.8258188,105.354162"
Bệnh viện Đa khoa Hoàn Hảo Kei Mei Kai,private,,,,,,"https://www.google.com/maps/search/?api=1&query=10.8698098,106.7627408"
Bệnh viện Đa khoa Hoàn Hảo Medic Cần Thơ,private,,,,,,"https://www.google.com/maps/search/?api=1&query=10.0490309,105.7766544"
Bệnh viện Đa khoa Hoàn Mỹ Cửu Long,private,,,,,,"https://www.google.com/maps/search/?api=1&query=10.0058173,105.7997438"
Bệnh viện Đa khoa Hoằng Hoá,public,,,,,,"https://www.google.com/maps/search/?api=1&query=19.8510155,105.856286"
Bệnh viện Đa khoa Hoè Nhai,public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.040858,105.8460314"
Bệnh viện Đa khoa Hoè Nhai - Cơ sở 2,public,,,Ngõ 53 Tân Ấp,,,"https://www.google.com/maps/search/?api=1&query=21.0471714,105.8458691"
Bệnh Viện Đa Khoa Hồng Ngọc,private,,,,,,"https://www.google.com/maps/search/?api=1&query=21.0424358,105.8443367"
Bệnh viện đa khoa Hợp Lực,private,,,"595 Nguyễn Chí Thanh, P. Trường Thi, Thành phố Thanh Hóa, Thanh Hoá",,,"https://www.google.com/maps/search/?api=1&query=19.8276263,105.7786405"
Bệnh viện Đa khoa huyện Cẩm Mỹ,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.8144621,107.2186386"
Bệnh viện Đa khoa huyện Cầu Ngang,public,,,,,,"https://www.google.com/maps/search/?api=1&query=9.7923269,106.4505047"
Bệnh viện Đa khoa huyện Châu Thành,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.2579939,105.8634943"
Bệnh viện Đa khoa huyện Diễn Châu,public,,,,,,"https://www.google.com/maps/search/?api=1&query=18.974678,105.5891197"
Bệnh viện Đa khoa huyện Đại Từ,public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.62632,105.645145"
Bệnh viện Đa khoa huyện Định Hoá,public,,,,,,"https://www.google.com/maps/search/?api=1&query=21.9138416,105.6457032"
Bệnh viện Đa khoa huyện Đô Lương,public,,,,,,"https://www.google.com/maps/search/?api=1&query=18.8881787,105.3140854"
Bệnh viện Đa khoa huyện Đông Sơn,public,,,,,,"https://www.google.com/maps/search/?api=1&query=19.8175902,105.7161848"
Bệnh viện Đa khoa Huyện Giồng Riềng,public,,,,,,"https://www.google.com/maps/search/?api=1&query=9.9077731,105.3106884"
Bệnh viện Đa khoa huyện Hà Quảng,public,,,,,,"https://www.google.com/maps/search/?api=1&query=22.9001704,106.0692743"
Bệnh viện Đa khoa huyện Hải Hậu,public,,,,,,"https://www.google.com/maps/search/?api=1&query=20.1946733,106.2956622"
Bệnh viện Đa khoa Huyện Hòa Thành,public,,,,,,"https://www.google.com/maps/search/?api=1&query=11.2760877,106.1270084"
Bệnh viện Đa khoa Huyện Hồng Ngự,public,,,,,,"https://www.google.com/maps/search/?api=1&query=10.8149693,105.2485574"
Bệnh viện Đa khoa huyện Kim Sơn,public,,,,,,"https://www.google.com/maps/search/?api=1&query=20.0940592,106.0816318"
